idcobrarpagardoc,FECHA_FACTEX,FACT_EXPORT,idclieprov,CLIENTE_EXT,VARIEDAD,VARIEDAD2,PtoDestino,NRO_CONTENEDOR,CANTIDAD_KG,PP_FACTURA,sub_total,PRIMER_ADELANTO,SEGUNDO_ADELANTO,LIQUIDACION,PP_VENTA,PP_FOB,PP_CAMPO,PRI_ADEL,SEG_ADEL,LIQ_ADEL,PAIS,CONTINENTE,COSTO_FOB,EST_LIQ,COSTO_CAMPO,fecha,ADELANTO,NDEBITO,KG_LIQ,MONTO_LIQ,POR_L,div_cont,div_cont_liq
_6BD10WA2X55387,2022-04-18 17:12:52,INV-FE01-0000886,EXP00000003,SEALD SWEET INTERNATIONAL,PRIMOSOLE,PRIMOSOLE,PHILADELPHIA - USA,MNBU-421455-5,23040.0,1.1,25344.0,12871.0,,18008.22,1.998417,1.3402439236111,0.872791,SI,NO,SI,EEUU,AMERICA DEL NORTE,0.6581736111111,SI,0.467452,2022-04-18 17:12:52,25344.0,5535.19872,23040.0,30879.22,MNBU-421455-5,1.0,1.0
_6BD17ZBL255387,2022-04-19 00:00:00,INV-FE01-0000889,EXT0000050 ,CLASSIC HARVEST LLC,PRIMOSOLE,PRIMOSOLE,PHILADELPHIA - USA,MNBU-378882-0,23040.0,1.1,25344.0,14400.0,,16936.27,2.255108,1.3600811631944,0.897403,SI,NO,SI,EEUU,AMERICA DEL NORTE,0.89502734375,SI,0.462677,2022-04-19 00:00:00,25344.0,5992.26624,23040.0,31336.27,MNBU-378882-0,1.0,1.0
_6AT12H87P37112,2022-03-31 00:00:00,INV-FE01-0000861,EXT00000062,GAIA LLC,PRIMOSOLE,PRIMOSOLE,PHILADELPHIA - USA,MNBU-909435-0,11000.0,1.2,13200.0,6600.0,,6646.15,1.35,1.2041958041958,0.735939,SI,NO,SI,EEUU,AMERICA DEL NORTE,0.0159965034965,SI,0.468256,2022-03-31 00:00:00,13200.0,708.664,11000.0,13246.153846,MNBU-909435-0,0.480769230769,0.480769230769
_6AT12H87P37112,2022-03-31 00:00:00,INV-FE01-0000861,EXT00000062,GAIA LLC,SATSUMA,SATSUMA OKITSU,PHILADELPHIA - USA,MNBU-909435-0,11880.0,1.2,14256.0,7128.0,,7177.85,1.1,1.2041958041958,0.735939,SI,NO,SI,EEUU,AMERICA DEL NORTE,0.0159965034965,SI,0.468256,2022-03-31 00:00:00,14256.0,765.35712,11880.0,14305.846153,MNBU-909435-0,0.51923076923,0.51923076923
_6AX11FC2355387,2022-04-02 00:00:00,INV-FE01-0000864,EXP00000002,ORIGIN FRUIT DIRECT BV,SATSUMA,SATSUMA OKITSU,ROTTERDAM - EUROPA,MNBU-382687-5,22880.0,0.9,20592.0,,,11552.01,0.872538,0.504895541958,0.090769,NO,NO,SI,PAISES BAJOS,EUROPA,0.3676424825174,SI,0.414125,2022-04-02 00:00:00,20592.0,0.0,22880.0,11552.01,MNBU-382687-5,1.0,1.0
_6B00P5DGA37112,2022-04-07 00:00:00,INV-FE01-0000870,EXP00000012,"ESU FARM, LLC",PRIMOSOLE,PRIMOSOLE,PHILADELPHIA - USA,MNBU-912257-5,22880.0,1.1,25168.0,12584.0,,14898.0,1.960795,1.2011363636363,0.728946,SI,NO,SI,EEUU,AMERICA DEL NORTE,0.759659090909,SI,0.472189,2022-04-07 00:00:00,25168.0,2726.6096,22880.0,27482.0,MNBU-912257-5,1.0,1.0
_6B517U8J237112,2022-04-12 00:00:00,INV-FE01-0000878,EXP00000025,WONDERFUL CITRUS PACKING  LLC,PRIMOSOLE,PRIMOSOLE,PHILADELPHIA - USA,MNBU-417070-8,23040.0,1.1,25344.0,11520.0,,26109.27,2.712944,1.63321484375,1.170536,SI,NO,SI,EEUU,AMERICA DEL NORTE,1.0797300347222,SI,0.462677,2022-04-12 00:00:00,25344.0,12285.25056,23040.0,37629.27,MNBU-417070-8,1.0,1.0
_6BA0ZSBGH37112,2022-04-17 00:00:00,INV-FE01-0000885,EXT00000062,GAIA LLC,PRIMOSOLE,PRIMOSOLE,PHILADELPHIA - USA,UAEU-126789-2,17380.0,1.2,20856.0,10428.0,,11712.51,1.35,1.2739073426573,0.797762,SI,NO,SI,EEUU,AMERICA DEL NORTE,0.0159965034965,SI,0.476145,2022-04-17 00:00:00,20856.0,1769.12758,17380.0,22140.509615,UAEU-126789-2,0.759615384615,0.759615384615
_6BD112QVC55387,2022-04-18 00:00:00,INV-FE01-0000887,EXP00000013,TOM LANGE CO INT' L DBA SEVEN SEAS,PRIMOSOLE,PRIMOSOLE,PHILADELPHIA - USA,MNBU-420703-1,23040.0,1.1,25344.0,3320.0,,19842.13,1.951048,1.00530078125,0.535626,SI,NO,SI,EEUU,AMERICA DEL NORTE,0.9457473958333,SI,0.469674,2022-04-18 00:00:00,25344.0,1073.18016,23040.0,23162.13,MNBU-420703-1,1.0,1.0
_6BH132EIP37112,2022-04-23 00:00:00,INV-FE01-0000899,EXP00000025,WONDERFUL CITRUS PACKING  LLC,PRIMOSOLE,PRIMOSOLE,PHILADELPHIA - USA,SZLU-916835-9,21204.0,1.1,23324.4,11232.0,,20590.16,2.814221,1.5007621203546,1.04189,SI,NO,SI,EEUU,AMERICA DEL NORTE,1.3134592529711,SI,0.458871,2022-04-23 00:00:00,23203.770444,8618.3658,21204.0,31822.16,SZLU-916835-9,1.0,1.0
