DIM CALIBRE.CALIBRE,DIM CAMPANIA.CAMPANIA,DIM CLIENTE.CLIENTE,DIM CONSIGNATARIO.CONSIGNATARIO,DIM CONTENEDOR.CONTENEDOR,DIM ETIQUETA.ETIQUETA,DIM FECHA ARRIBO.FECHA,DIM FECHA CARGA.FECHA,DIM FECHA LLEGADA DESTINO.FECHA,DIM FECHA PARTIDA.FECHA,DIM MARCA.MARCA,DIM MONEDA ORIGEN.MONEDA ORIGEN,DIM NAVIERA.NAVIERA,DIM NROPACKINGLIST.NROPACKINGLIST,DIM OBSERVACIONES.OBSERVACIONES,DIM PAIS.PAIS,DIM PUERTO DESTINO.PUERTO DESTINO,DIM SEMANA CARGA.SEMANA CARGA,DIM SEMANA VENTA.SEMANA VENTA,DIM VARIEDAD.VARIEDAD,CANTIDAD,DIAS ATRASO,FOT RBT,LIQUIDACION,PESO,PRECIO FOB,PRECIO VENTA,Recuento FACT COMERCIAL,TIEMPO TRANSITO ESTIMADO,TIEMPO TRANSITO REAL,DIAS ATRASO CALCULADO,FLAG A TIEMPO,DIM ENVASE.ENVASE,PESO UN,FOT 8.2 CALIBRE
102,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG - 348,N/D,N/D,CHINA,0,29,RED GLOBE,114,0,0,0,934.8,17.242,25,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
102,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG_528,N/D,N/D,CHINA,0,21,RED GLOBE,114,0,0,0,934.8,15.599,22.189,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
102,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG_549,N/D,N/D,CHINA,0,21,RED GLOBE,114,0,0,0,934.8,14.915,22.994,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
102,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG_556,N/D,N/D,CHINA,0,21,RED GLOBE,114,0,0,0,934.8,14.541,22.157,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
102,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG-301,N/D,N/D,CHINA,0,20,RED GLOBE,114,0,0,0,934.8,18.511,25.148,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
102,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG-316,N/D,N/D,CHINA,0,20,RED GLOBE,114,0,0,0,934.8,18.642,25.175,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
102,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG-408,N/D,N/D,CHINA,0,21,RED GLOBE,114,0,0,0,934.8,17.452,24.504,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
109,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG - 434,N/D,N/D,CHINA,0,21,RED GLOBE,114,0,0,0,934.8,14.084,20.139,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
109,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG_464,N/D,N/D,CHINA,0,21,RED GLOBE,114,0,0,0,934.8,13.734,18.697,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
109,N/D,"RIVERKING INTERNATIONAL CO., LTD",N/D,N/D,N/D,1/01/1900,1/01/1900,1/01/1900,1/01/1900,N/D,DOLARES AMERICANOS,N/D,RG_542,N/D,N/D,CHINA,0,21,RED GLOBE,114,0,0,0,934.8,11.751,17.989,1,0,0,0,A TIEMPO,MAD.8.2/114,8.2,114
