item,id,idclieprov,razon_social,iddocumento,documento,fecha,vencimiento,vencimiento_aux,diasemana,semana,glosa,idmoneda,tipo_moneda,semana_anterior,importemof,importemex,idestado,SemanaTexto,Año,NombreMes,SemanaColumna,DocumentoFila,moneda,importe_origen
542,_6020RWN138404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000376,10/03/2021 00:00,24/04/2021 00:00,24/04/2021 00:00,2,17,SERVICIO LOGISTICO,02,E,0,6684.64,1804.22,AP,17,2021,Abril,Sem 17,OSR 0001-0000376  F.Emision(10/03/2021) & F.Venc.(24/04/2021),US$,
543,_6020RYJ188404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000377,10/03/2021 00:00,24/04/2021 00:00,24/04/2021 00:00,2,17,SERVICIO LOGISTICO,02,E,0,6684.64,1804.22,AP,17,2021,Abril,Sem 17,OSR 0001-0000377  F.Emision(10/03/2021) & F.Venc.(24/04/2021),US$,
544,_6020S05OD8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000378,10/03/2021 00:00,24/04/2021 00:00,24/04/2021 00:00,2,17,SERVICIO LOGISTICO,02,E,0,6684.64,1804.22,AP,17,2021,Abril,Sem 17,OSR 0001-0000378  F.Emision(10/03/2021) & F.Venc.(24/04/2021),US$,
545,_6020S1RXY8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000379,10/03/2021 00:00,24/04/2021 00:00,24/04/2021 00:00,2,17,SERVICIO LOGISTICO,02,E,0,6684.64,1804.22,AP,17,2021,Abril,Sem 17,OSR 0001-0000379  F.Emision(10/03/2021) & F.Venc.(24/04/2021),US$,
546,_6020S3C3L8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000380,10/03/2021 00:00,24/04/2021 00:00,24/04/2021 00:00,2,17,SERVICIO LOGISTICO,02,E,0,6684.64,1804.22,AP,17,2021,Abril,Sem 17,OSR 0001-0000380  F.Emision(10/03/2021) & F.Venc.(24/04/2021),US$,
558,_6020SKZ6R8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000383,10/03/2021 00:00,24/04/2021 00:00,24/04/2021 00:00,2,17,SERVICIO LOGISTICO,02,E,0,6684.64,1804.22,AP,17,2021,Abril,Sem 17,OSR 0001-0000383  F.Emision(10/03/2021) & F.Venc.(24/04/2021),US$,
875,_60G0NR8MR8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000471,25/03/2021 00:00,9/05/2021 00:00,9/05/2021 00:00,3,19,SERVICIO LOGISTICO,02,E,0,6718.92,1804.22,AP,19,2021,Mayo,Sem 19,OSR 0001-0000471  F.Emision(25/03/2021) & F.Venc.(09/05/2021),US$,
876,_60G0O5CXJ8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000472,25/03/2021 00:00,9/05/2021 00:00,9/05/2021 00:00,3,19,SERVICIO LOGISTICO,02,E,0,7720.82,2073.26,AP,19,2021,Mayo,Sem 19,OSR 0001-0000472  F.Emision(25/03/2021) & F.Venc.(09/05/2021),US$,
955,_6140OS3ZK8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000713,16/04/2021 00:00,16/05/2021 00:00,16/05/2021 00:00,3,20,SERVICIO LOGISTICO,02,E,0,6532.41,1803.04,AP,20,2021,Mayo,Sem 20,OSR 0001-0000713  F.Emision(16/04/2021) & F.Venc.(16/05/2021),US$,
956,_6140OTUDE8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000714,16/04/2021 00:00,16/05/2021 00:00,16/05/2021 00:00,3,20,SERVICIO LOGISTICO,02,E,0,6532.41,1803.04,AP,20,2021,Mayo,Sem 20,OSR 0001-0000714  F.Emision(16/04/2021) & F.Venc.(16/05/2021),US$,
1013,_60Q11DQHT8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000553,3/04/2021 00:00,18/05/2021 00:00,18/05/2021 00:00,5,20,SERVICIO LOGISTICO,02,E,0,6780.26,1804.22,AP,20,2021,Mayo,Sem 20,OSR 0001-0000553  F.Emision(03/04/2021) & F.Venc.(18/05/2021),US$,
1014,_60Q11G4378404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000554,3/04/2021 00:00,18/05/2021 00:00,18/05/2021 00:00,5,20,SERVICIO LOGISTICO,02,E,0,6780.26,1804.22,AP,20,2021,Mayo,Sem 20,OSR 0001-0000554  F.Emision(03/04/2021) & F.Venc.(18/05/2021),US$,
1077,_60X0XWSBH8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000608,7/04/2021 00:00,22/05/2021 00:00,22/05/2021 00:00,2,21,SERVICIO LOGISTICO,02,E,0,6605.25,1804.22,AP,21,2021,Mayo,Sem 21,OSR 0001-0000608  F.Emision(07/04/2021) & F.Venc.(22/05/2021),US$,
1078,_60X0XYEQS8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000609,7/04/2021 00:00,22/05/2021 00:00,22/05/2021 00:00,2,21,SERVICIO LOGISTICO,02,E,0,6605.25,1804.22,AP,21,2021,Mayo,Sem 21,OSR 0001-0000609  F.Emision(07/04/2021) & F.Venc.(22/05/2021),US$,
1257,_6140OX6YM8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000715,16/04/2021 00:00,31/05/2021 00:00,31/05/2021 00:00,4,22,SERVICIO LOGISTICO,02,E,0,6532.41,1803.04,AP,22,2021,Mayo,Sem 22,OSR 0001-0000715  F.Emision(16/04/2021) & F.Venc.(31/05/2021),US$,
1258,_6140P04RK8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000716,16/04/2021 00:00,31/05/2021 00:00,31/05/2021 00:00,4,22,SERVICIO LOGISTICO,02,E,0,6532.41,1803.04,AP,22,2021,Mayo,Sem 22,OSR 0001-0000716  F.Emision(16/04/2021) & F.Venc.(31/05/2021),US$,
1289,_6110UIBIA8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000686,15/04/2021 00:00,30/05/2021 00:00,30/05/2021 00:00,3,22,SERVICIO LOGISTICO,02,E,0,6422.59,1768.82,AP,22,2021,Mayo,Sem 22,OSR 0001-0000686  F.Emision(15/04/2021) & F.Venc.(30/05/2021),US$,
1290,_6110UKK1H8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000687,15/04/2021 00:00,30/05/2021 00:00,30/05/2021 00:00,3,22,SERVICIO LOGISTICO,02,E,0,6551.12,1804.22,AP,22,2021,Mayo,Sem 22,OSR 0001-0000687  F.Emision(15/04/2021) & F.Venc.(30/05/2021),US$,
1291,_6110ULU1G8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000688,15/04/2021 00:00,30/05/2021 00:00,30/05/2021 00:00,3,22,SERVICIO LOGISTICO,02,E,0,6551.12,1804.22,AP,22,2021,Mayo,Sem 22,OSR 0001-0000688  F.Emision(15/04/2021) & F.Venc.(30/05/2021),US$,
1357,_6180MRT4B8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000779,21/04/2021 00:00,5/06/2021 00:00,5/06/2021 00:00,2,23,SERVICIO LOGISTICO,02,E,0,6646.01,1803.04,AP,23,2021,Junio,Sem 23,OSR 0001-0000779  F.Emision(21/04/2021) & F.Venc.(05/06/2021),US$,
1358,_6180MTJTW8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000780,21/04/2021 00:00,5/06/2021 00:00,5/06/2021 00:00,2,23,SERVICIO LOGISTICO,02,E,0,6646.01,1803.04,AP,23,2021,Junio,Sem 23,OSR 0001-0000780  F.Emision(21/04/2021) & F.Venc.(05/06/2021),US$,
1359,_6180MUOR48404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000781,21/04/2021 00:00,5/06/2021 00:00,5/06/2021 00:00,2,23,SERVICIO LOGISTICO,02,E,0,6646.01,1803.04,AP,23,2021,Junio,Sem 23,OSR 0001-0000781  F.Emision(21/04/2021) & F.Venc.(05/06/2021),US$,
1360,_6180MVYU08404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000782,21/04/2021 00:00,5/06/2021 00:00,5/06/2021 00:00,2,23,SERVICIO LOGISTICO,02,E,0,6646.01,1803.04,AP,23,2021,Junio,Sem 23,OSR 0001-0000782  F.Emision(21/04/2021) & F.Venc.(05/06/2021),US$,
1361,_6180MXF7Q8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000783,21/04/2021 00:00,5/06/2021 00:00,5/06/2021 00:00,2,23,SERVICIO LOGISTICO,02,E,0,6646.01,1803.04,AP,23,2021,Junio,Sem 23,OSR 0001-0000783  F.Emision(21/04/2021) & F.Venc.(05/06/2021),US$,
1362,_6180MYWI58404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000784,21/04/2021 00:00,5/06/2021 00:00,5/06/2021 00:00,2,23,SERVICIO LOGISTICO,02,E,0,6650.35,1804.22,AP,23,2021,Junio,Sem 23,OSR 0001-0000784  F.Emision(21/04/2021) & F.Venc.(05/06/2021),US$,
1363,_6180N04SW8404,20253319403,NEW TRANSPORT S.A.,OSR,OSR 0001-0000785,21/04/2021 00:00,5/06/2021 00:00,5/06/2021 00:00,2,23,SERVICIO LOGISTICO,02,E,0,6646.01,1803.04,AP,23,2021,Junio,Sem 23,OSR 0001-0000785  F.Emision(21/04/2021) & F.Venc.(05/06/2021),US$,
